A2HLOMXD15UQ5F,"{2509: 5, 291734: 5}"
A2IEXRNDZGP9XC,{485060: 5}
A3AS0NOB5TCOYI,{486194: 5}
A3AY6C06XTVOVP,{485128: 2}
AB0B0Z7IUY3WN,{485142: 1}
A1U2O8KR1GZWI9,{485274: 2}
ATSVG9GCY8VU6,{485293: 5}
AFZ88HLJM7RQC,{485382: 5}
A2J3NJSV0MEKOE,{485382: 5}
A3Q40AWQ335HEX,{485382: 5}
A1D7D1FE7M5DJ2,{485382: 5}
A1XIJ2W1I7VHDK,{485382: 5}
A21AFIIZYFFFU0,{485382: 1}
A1RPXFCXQJ5ZG8,{485382: 4}
AR1M4IHAOQCMR,{485382: 4}
A175F2R3JOGNTJ,{485382: 5}
A1DQTC9J7Q2BTV,{485382: 5}
A1CUP8I2CD60C6,{485382: 5}
A20M852Q7QCF52,{485382: 1}
A1Q8S5ZEMOJIGE,{485423: 1}
A1MLWE6UWNZX4A,{485438: 1}
A1FSIS4RP7QH9D,{485438: 2}
A3W59RYHCWLQCQ,{485505: 5}
A164GA6MFHPEN2,{485523: 5}
A3NQFNEWZ18YM,{486222: 5}
A3GNBDV3AFIOI8,{485561: 1}
A3H7WZFZJH883I,{485575: 5}
A1GAOE5SVSLY5I,{485759: 5}
A3SB4XL0BJCSZV,{485759: 5}
A1MEW34HF3941Z,{485809: 5}
A3NLIXJWSWPR97,{485825: 4}
AY61HL02GQ0AO,{485833: 4}
A1L0CTWNJLJ4FX,{485833: 5}
AHZUPWJX6FEOJ,{486255: 5}
AW7HCI16SAVPH,{488678: 5}
ATUAMG5Z48F16,{486324: 1}
A15VWIKFQ0OEZB,{488689: 5}
A2OD960VZ1VEVH,{486453: 3}
A1TCN053S72XL4,{486463: 5}
A261AON83NYAHF,{486466: 3}
A2LHLPQHHCUPGO,{486497: 5}
A2Y3D2UH2CTMPU,{488727: 4}
A3TEW2P0DG30VB,{486588: 5}
A39C1QEJSDNF2V,{486593: 1}
A2FNCI2G8M7GOE,{486597: 4}
A3GS2WZZA650ZW,{486625: 5}
ARLH5GT726PCV,{486653: 5}
A3F9KCBARS0GQI,{486679: 5}
A1XAV4RXP0QUZF,{486736: 5}
APTUW74GF0T5S,{486843: 5}
A1FWP4ZL94K8E4,{486953: 5}
A2107XL9HN0RL8,{488779: 5}
ADFWGKPI984YL,{486972: 5}
ALP4PZZGNB3GC,{486976: 5}
A36YMBSQ7UZDUZ,{486978: 1}
A3S389Q81C3I3R,{486978: 4}
A21DZ9FWS61ALY,{486978: 1}
A4MSPJRY8ZO82,{486978: 5}
A30X61CYY4B5FF,{487024: 5}
ADOD1UXTX4RKA,{487034: 5}
AXUHEMCGK8EJC,{487034: 5}
A2L479ZL8W1EOL,{487152: 3}
AD80FM532W95J,{487154: 5}
A2YLLZGWWKD5L1,"{487182: 5, 513006: 5}"
A3PD5XBPRCIVBN,{487191: 5}
A2VHYXHWBFW6NS,{487255: 5}
A1K9N6A8O9M7ZA,{487283: 5}
A1UE506WZYTOF7,{487283: 5}
A3NAZFUPBMR222,{487337: 5}
A2IX5ENZ5N4CIE,{487338: 1}
A3HFZ1KX5ZEX3Y,{487366: 5}
A2RA3CYW2I99ZF,{487416: 5}
A3NLNT3O7ET9Z5,{487422: 1}
A3J07NZR4Z2L1R,{487495: 4}
A13FWIQ6OG4EBO,{487508: 1}
A1SFT3AERNH15Q,{488825: 5}
A8ZXM9OKFF50P,{488826: 5}
A15E70H3UG1WCF,{487604: 3}
A15P4ZQW06QGMR,{488836: 5}
AK8H33EOPN4M4,{487739: 5}
AC8PRQ01ASEV0,{487739: 5}
A22BHBF2K5IYMZ,{487801: 4}
AI3DF4CO7QG3Q,{487853: 1}
A3INT354GBL03V,{487916: 5}
A3OKQX11VBH7M8,{487922: 2}
A2X0E4QDKC7B3C,{487964: 5}
A1IYBP47Y3OQHO,{487964: 4}
AFT2NNM871U35,{487967: 1}
A2RK8CTLUSNEEL,{487999: 1}
A3UN6POTX03P04,{487999: 1}
A186CLYV9I2MFG,{487999: 1}
A1UBZDG26UM8FC,{487999: 5}
AMT44650QEKSK,{487999: 2}
A24VL50XFG3V6S,{488051: 5}
ACC0XDZB8SLV4,"{488051: 5, 509272: 5}"
A9DX6L7TDOXKQ,{488051: 3}
A1K110E1D45B9,{488051: 5}
A35WVVJDF7195I,{488051: 3}
A31OJERGNA2QZN,{488075: 5}
A2JECGZTHRG9LG,{488075: 5}
A1TJDC221RCHXR,{488088: 1}
A314VVUD1HSHTR,{488134: 5}
A1IAZZDBXEYTRX,{488170: 5}
ABGC0FM77L839,{488870: 3}
A1K92IL8FSLKXE,{488297: 5}
A1WXH1E0KN5LC6,{488306: 5}
A1KRJVLRSJWMU8,{488374: 5}
ABDSNTZKH3FK7,{488375: 3}
A3081BI0UDK7FW,{488401: 5}
A3UNSDPAMQAJA0,{488421: 4}
AY3KNMIEJF45O,{488421: 4}
A1JR7HT40DVA6V,{488421: 1}
A1ZDNIELD5LGWU,{488421: 5}
AW2I08O3122CW,"{488560: 5, 512610: 5}"
AHAEZ1N4NUBLH,{488571: 5}
ANMSMLIHFLOOS,{488571: 4}
A31I2XMEJARM36,{488571: 5}
AD7ARUUG8OOM8,{488922: 5}
A1WPS3V6EMTQUL,{488943: 5}
A3N9403N7BT4V5,{488987: 5}
ABN8Q4C8KOBXZ,{488996: 5}
A31WKX5YJHD5NA,{489000: 4}
A3P8SMT2AKIGTE,{489156: 4}
A18OBXG184W3SU,{489158: 4}
A327OA29JVIY8F,{489187: 5}
A2ZFJ42HG048B8,{489201: 5}
A3PW4R66B98AG9,{491393: 5}
ABWDGGKIP79NR,{489250: 5}
A1LS16TDHAUDQC,{491400: 1}
A37AQBAUPWCDF6,{489252: 3}
A31EWW4FVG5KYP,{489357: 3}
A3CXX6CQ4ZSSUH,{489390: 5}
A2AUJ4CYX1XDDF,{489419: 5}
AOSSTT34M423L,{489427: 1}
A18C26EST7COS0,{489427: 1}
A3R90KQSTZAQJU,{489427: 4}
A3L94QF5A1KZ4E,{489427: 5}
A11JGJDPAYGJIJ,{489514: 5}
A1TTRW1F2LPY9N,{489516: 2}
A1POS3O6FP4A0F,{491430: 1}
A1XDYQ3CVDE72T,{489538: 5}
A2IM9O209NSOFX,{489559: 3}
A2TNZAMBWKD0WH,{489580: 1}
AG1GH3FESI7U0,{491435: 5}
A1PPDO90DX6LXF,{489588: 5}
A1GTWU3V5TM14N,{491443: 3}
A18ZPQW7H5O21Z,{489782: 5}
A2QQL837JQUUX3,{489796: 4}
A23HG8Q2NJOTW7,{491462: 5}
A1WV8TE0VJNH8W,{489833: 5}
AL495O17TVKAT,{489847: 1}
ADR2N3UVLWBUK,{489859: 5}
A1ITNY2ZDBTSDF,{489865: 5}
A2JWTMJ6QNKSKQ,{489876: 1}
A2X6BBY6JW7R93,{489979: 2}
A1DHKGM6K18NP5,{490012: 5}
AZ6M3RHVJZZRX,{490012: 5}
A34330A4P9UICP,{490074: 4}
A1E5HEVC7MZZY9,{490074: 3}
A3HRCQG8FL30PR,{490100: 2}
A26KCLUU5JXHPD,{490107: 5}
A236GA6JMVE4VQ,{490107: 4}
A3CL6P3C1N1Q8S,{490108: 1}
ALKAKWOV6OX7U,{490152: 4}
A3M1O9INALYGYY,{491490: 5}
A2GKM8DD1AGZDQ,{490174: 5}
A3MZ126YBN7T0D,{490190: 4}
A1M1D7TC7QWAYH,{490254: 5}
AQMDTIUPGFQVU,{490271: 5}
A3QMEVQNASCRI2,{490292: 5}
A1J6GCLNI9BJR2,{490371: 5}
A3SY4P64ZCFRSB,{490376: 5}
A1F1GCGHTDBMZQ,{490411: 5}
A28KK4GMH00PTC,{490638: 4}
A3AOMJ01KOAWLS,{490719: 5}
A347ZK2C1FWHX,{491007: 4}
A2YT0MRVAIULIR,{491529: 5}
A1681YHO395WKJ,{491529: 5}
A2J8NR9SVMC585,{491070: 5}
A5T7L27F10FXE,{491178: 1}
AB0RYRTVA5XK8,{493978: 4}
A2NZH3EQE5NSBV,{493990: 5}
A2IVV9XNEHXLBC,{491594: 1}
AYIWK0EGL0ZU5,{491657: 4}
A60B1B1OKDPIH,{491728: 4}
AFLZUH386HCOQ,{491728: 4}
A1CXMYW9F9E47S,{491738: 4}
A29JS1UZYR8B0F,{491749: 5}
A1HU7O0EGVXIM7,{491815: 5}
A19U4YD4ZMIUD2,{491829: 4}
A1LGXCKPZ4XRS3,{491847: 1}
A1IEAGVUMUXOYE,{491863: 5}
A1JZC5TBFYMSFZ,{491921: 4}
A1O4C7QWSF0QWL,{491936: 5}
A2IIM4PAO4A87W,{494070: 3}
A2VXH626TQGOKB,{492009: 2}
A3EQNFCRD6OS14,{492084: 3}
A2L10DRLJM4SK3,{492092: 5}
A3IZA9NTY1AL1O,{492141: 5}
A3SJGMK9TII3RX,{492168: 5}
AZT37H0OJ79BP,{492170: 2}
A1LGVP671MEZK3,{492189: 1}
A9SN8DJTUOC7U,{492218: 4}
A1QY5W6VU30II,{492234: 5}
AJ5ECBKYPA5HE,{492247: 5}
A1O2YBQ0ES2F71,{492251: 4}
A3V1URAQSI18E0,{492294: 5}
A2GD0F8UZMFNUR,{492367: 1}
A1636JNQ7K5BQ6,{492372: 4}
A24D8S0RX51M3J,{492411: 5}
A3GGR90ZPXVSP7,{492411: 5}
A3CYVIOO2V0NIZ,{492411: 5}
A32UG3M9RFF6SG,{492411: 5}
A3GTP0TT03LVKX,{492436: 5}
A1PYE5RZSJMH0U,{492468: 5}
A1TPY2LS6KVOJC,{492474: 1}
A39W464PWMC906,{492480: 5}
A1IA3QCEQGS83D,"{494127: 2, 510010: 5}"
A3E69Z2KXB73C8,{492488: 1}
A2G975AZRDI9QO,{492526: 5}
AOPNDD2PERJTS,{492526: 5}
ADXOS1LLIQ48T,{492566: 2}
A2YSIAV3L6Y89K,{492579: 4}
AOT9EP5ESN3PX,{492581: 2}
ADPHS622PHE6Q,{492626: 5}
A3TVM6QF20U9ZU,{492653: 5}
A3K0RU34CN1LIN,{492733: 4}
AISVEFY7BYNQ7,{492770: 3}
A3UZPB6ZZUMJZI,{492781: 5}
A227NVSV3Z5HG0,"{492808: 1, 516542: 1}"
A78L4M9G89Q6C,{492911: 5}
A28N969QVGRY6F,{492957: 5}
A2YAXKSO0PAYRL,{492968: 4}
AVR8QOR8VEWE2,{493010: 4}
A1OUR2G5YBNPV,{493037: 4}
A1M527GTUVKECQ,{493037: 5}
A1F13M0YGFHJY0,{493048: 1}
A39UWBVTTVQKGY,{493066: 5}
A1C670XROSDCN2,{493163: 5}
AQ67C9I746NM9,{493190: 5}
A322JQJ88OJHDI,{493190: 4}
A1YIAXA7UHLC8U,{494174: 1}
A1RTFGHKNWLTCF,{493276: 5}
A1ZRMO923RKAB0,{493367: 1}
A23L9HJNNL24T1,{493409: 3}
ABZ123UDF86RU,{493437: 1}
A3NQ0BFMIDHZG0,{493437: 2}
A365V6FRKQ32TD,{493437: 5}
A1V27L7CU45RN7,{493531: 4}
A39FM68AYZ3JKB,{493531: 4}
A1T2QUY8V9AYSE,{493545: 5}
A1S5HV4QKRUKK7,{493612: 5}
A1G8YSUSFCFU16,{493633: 5}
A1G350JPXI1S9Y,{494195: 4}
A3KF8IZ5O6K3LI,{493777: 5}
A1VAZKN6TL2N8M,{493932: 5}
A2N0STTLYB29AD,{493967: 3}
A3013593EXPL9L,{494223: 4}
A3UIS41ALL0A8I,{494242: 5}
A2J4QN581470FK,{494262: 5}
A3KYRBWGETF3E9,{496658: 4}
A28ACEUKWT5185,{496676: 4}
ALN595UNK53PE,{494351: 5}
A19LDNXH3FL4NW,{496706: 2}
A1MUE0GKYGYUXB,{494511: 5}
AD0Y0JXAHFF0E,{494531: 1}
A1C5H0WHH53IL8,{494622: 3}
AXJEE9FBRG0UM,{494622: 5}
AJTEUOGF6R3NI,{496741: 5}
ABK2CTV7L88YC,{494777: 4}
A3DAND0ELXUCSF,{494782: 1}
AODK6IDT5UTUM,{494782: 1}
A2GXHJDCHT9QNS,{494806: 5}
A1UQ1X0V9QEL1F,{496764: 1}
A125C0LMZHE3CH,{496764: 5}
AHOKM5YXF5JL9,{494874: 1}
ARE6SD2FW74TX,{494881: 5}
AWPC4BD9PCRKO,{494893: 5}
A18O656YJWASZ1,{496773: 4}
A3UMTRIYC79YHE,{494953: 5}
A238ZU0UPNMUJ3,{495002: 5}
AWTGA8QSWQOTV,{495014: 2}
A2N4BM9EJTW9B9,{495188: 5}
A33JG0NO9J82H8,{495198: 5}
A2R48QOXIUCOW1,{496803: 5}
A1E1FFI8Q1968S,{496803: 5}
ANUQCWE00DN4E,{495362: 4}
A2BWUL6E09MXFC,{495426: 5}
A1QRPKY7J85HAI,{495455: 5}
AIYH86FLJU91A,{495492: 4}
A1W7QG9ZRPLWZN,{495544: 4}
AFK5OM08RS6YK,{495619: 5}
A1TXUKLULZEMN0,{495779: 1}
AJVJWXK5ZVACG,{495828: 4}
A2EUZSR74VVR1,{495834: 1}
A2XJGXGEP4SUMT,"{495851: 2, 504660: 1}"
AMI1U4AHGHL7X,{495907: 1}
A36LEFLEBOV0OL,{495907: 2}
A2S4O20CGEG33Z,{495915: 5}
A3ICGP5TYNAPPK,{495926: 5}
A20BL5VS7HG3I8,{495958: 3}
A38YE38WU2XBW,{496010: 2}
A7JZ2K2L5P6LA,{496065: 5}
A3PRE9W9TTDTDT,{496066: 5}
A1XAWKOROW5323,{496124: 5}
A1V76UTZ5OD0AH,{496128: 5}
ARX301E4BS5JS,{496208: 5}
AZMRM48327FK0,{496211: 1}
AFHCSBA4S7UZB,{496242: 5}
A151BD5WNL8P9U,{496242: 5}
A25K274EQBG91Z,{496242: 5}
AOAPRRDGIE9E0,{496278: 1}
A1GY4LVUTE1E3N,{496851: 4}
A5312VP2JMXDT,{496364: 5}
A14BTDKBMYWX52,{496364: 5}
A25D0USZ9S0ZQF,{496376: 4}
A3LL7D05M7MZ76,{496398: 5}
A1LLATU1ESGE1K,{496431: 5}
A117NOFOL17V1U,{496458: 5}
A3S31Q6WO6FCQ6,{496492: 5}
A3CANCV8DXJSKT,{496581: 5}
A1L2KI68MG2I79,{496581: 3}
A3RFRUGG4CDPCC,{496911: 5}
AJ1IT31LKXC2X,{496938: 2}
A60DFTY3L3RM7,{496972: 4}
AG1Y3C7Z3EGPS,{496972: 5}
A1RILVIQIWP105,{497018: 5}
A3OYSQDA326DJE,{497043: 4}
A382SLOE1IVLLB,{497139: 4}
A1OCZLSP22DDTN,{497139: 5}
A1DDT2OSYJOZWI,{497139: 5}
A2AUI2EEN29J8J,{497139: 2}
A2KMQQ0WNJX0RX,{497140: 5}
AQB7YI20ZGNMR,{497144: 3}
A27AAXTH5209MG,"{497189: 4, 515732: 4}"
A1N0DIMKUESZF4,{497244: 5}
APV8TANWHF4V8,{497244: 1}
A3QZAUE1ZPBY1R,{497253: 3}
A1WWQ2JESKRPM9,{497253: 4}
A2EIDUSOESNHKH,{497303: 1}
APZW2IEOFOLWR,{499464: 5}
A25FUF9L9LPG20,{497353: 5}
A1WGLOKZ7QJ734,{497353: 5}
A1JDPZ97MR1PX7,{497392: 1}
A3OI8SBO2VKK8Z,{497394: 3}
A1RNKHCH0ZY80U,{497444: 4}
A1830FMQC7HNV4,{497446: 5}
A1VMPD2L999QN1,{497475: 5}
A1IPP9P3I3LLYV,{497475: 5}
A26D607I4M9CZ8,{497504: 1}
A2ONWFQJQSO4M4,{497532: 5}
AFELGBAI4TK4Z,{497552: 5}
A1MUY7G5MTNAH6,{497555: 5}
A16I054K7AEGRE,{497558: 4}
A2TYG5TBWLSI7E,{497572: 1}
A371RL42MWFWS4,{497616: 4}
A2KKGXCNACEGL3,{497618: 5}
A34WTVSPTMWU4G,{497618: 4}
AHY3NRV0480FF,{497659: 3}
A1S3G3SATMZHWC,{499496: 5}
A2UAKNL149JOE1,{499496: 1}
A1KIRXHZXPVE15,{497672: 5}
A24YCEQ364JPJK,{497712: 1}
A14IXEXSYY4SRF,{499499: 5}
AY4HO9VC95931,{497775: 1}
AUAKVHXGM4ZWI,{497850: 4}
A2ISAVG6KEBIDZ,{497868: 2}
A3OWDKC6D3Y81K,"{497870: 5, 523778: 5}"
A3EHM96UXRKYFC,{497885: 5}
A2XDXCES0VIDIM,{499515: 2}
A6U78S82MYS48,{497898: 2}
AS4ULSWU7L3UB,{497953: 3}
A2U8UHEP1F0RBG,{497953: 4}
A2SR5UTNH32P32,{497960: 5}
A2Q8CXIWLJWHAX,{497988: 5}
A1E6QZJ8ZUY7SX,{499529: 5}
A3CZE2O9Y7HVPK,{499534: 4}
A1W2DU8ROW3GTD,{498156: 4}
A3V4RKM9O3Y4AU,{498188: 5}
A89S7749V7AM0,{498262: 4}
A1UQP7QKL2DRFQ,{498273: 1}
A35E5I1MOFSUOI,{498295: 5}
A1HILIHEUER9ZE,{498337: 1}
A2C1FVWYFV8PLC,{498353: 1}
AFFGQICW4H0JX,{498369: 5}
A1YTNRXF0GSMGF,{498398: 5}
ADRKCTQ8GXYM2,{498398: 5}
A1BFEYGDPYW04Z,{498417: 5}
A25RO259Y4WE9W,{498424: 5}
A24FXHNAGDW2NM,{498433: 5}
A28XKKK7YFBJT9,{499552: 4}
A2LBA4TP1MXTLS,{498607: 5}
A1VGSTL0N6QZ4K,{498686: 5}
ANWHZTC633RZT,{498810: 4}
AFT2UH6A5A4E3,{498916: 5}
A3IJI6J5OFIDC0,{498944: 3}
A9ODSPAF6U78V,{498944: 2}
A6OYAI2GDZ9V3,{498944: 3}
A3VNDU849BTP14,{498959: 4}
A9G28V711V1VM,{498983: 2}
A4D682R75AYW4,{499007: 4}
A2XNCJDTAEMKZ8,{499092: 3}
A2D2YQPDZ2I55G,{499117: 5}
A1DJ6XJ3GHXRBA,{499117: 5}
A47GHLJCJBYOP,{499123: 5}
A2NFBX7LUUYMCS,{499200: 5}
ANPK2KXM5NF2D,{499214: 5}
A12WM84F7E7SZ5,"{499234: 5, 509272: 2}"
A1XKH9IRV1M7GV,{499234: 5}
A2TWZOAM97SBC8,{499597: 5}
ABP1XZEPP5RNA,{501988: 4}
A3SXZY9UDTY43Q,{501995: 5}
A118Y8VJFPE1CV,{499699: 5}
AS813UMIJHDKW,{499752: 5}
A2S9X3QJG0Y7AM,{499778: 1}
AB891JMSSC0X9,{499834: 3}
AR3HB1PC2S3Q9,{499864: 2}
A1U5MDNW8YP6VR,{502077: 5}
A2198I8641U16M,{500025: 5}
A1LPVBHUYJ6DW9,{500096: 4}
A3AEMWRU2LPXYJ,"{500097: 4, 513497: 5}"
A1F3HK575RUK74,{500106: 5}
A1XNAYLBLWXJ46,{500109: 3}
A3HE5XCTPN093X,{500110: 5}
A3APW64WUXRAKW,{500144: 5}
A346WZOESASHZB,{500168: 5}
A1P6S5PE7MHQC,{500193: 4}
A27CJN10DOO88P,{500232: 4}
A3AHQPN7P0S660,{500252: 1}
A3J2QG07085J2B,{500279: 5}
A2SLXRKTSH5UD4,{502133: 5}
AFXXWN7N1UTPH,{500334: 5}
A20GEI0OIFUIDK,{500334: 4}
A15I08VIR4VF7T,{500467: 4}
A16U51TVRPSHOU,{500477: 5}
ACO242TPG2QUE,{500553: 4}
A2RMAJCAK05GT8,{500568: 5}
ATN37IB6XXY82,{500587: 1}
A3GLTHWYZVJTMH,{502165: 1}
A28XEBNB8DQO7E,{500662: 5}
A6MXJDVJCHQ9G,{500734: 4}
A5WGDNZH2ACC8,{500747: 4}
A1TMMPW30RQ69G,{500762: 3}
A2XFYKM0RJBAZI,{502177: 5}
A2OHDZM5CP9RVC,{500805: 1}
A35QI4O4LZAEL9,{500853: 1}
A1MGFTTXSB47DH,{500946: 5}
AOKL3KLQM6U8R,{500946: 2}
AT0KIZZOOKNLF,{500973: 2}
A2RGCVG7J4IF9Y,{501007: 4}
ACHMJHPFI64V5,{502194: 5}
A1T93LJF28IPUZ,{501241: 5}
AOLPGC6WFWZKI,{501284: 1}
A1DOGVTLA49175,{501284: 5}
A1J6Z0CRU8HNEN,{501299: 4}
A3JZ2JHQVYB5A4,{501307: 5}
A24R032J3B3192,{501324: 4}
ARKJJGOK5OQCZ,{501343: 1}
A7VNBBHE6WKGR,{501361: 4}
A3OKC3TYF4IGZ5,{501460: 1}
A1R8NJE8HG4WA4,{501470: 2}
ATDPSXA4H0FOC,{501475: 5}
A1HZ5I3YKO9RMH,{501475: 4}
A2V4RA29KP7C1U,"{501475: 5, 514074: 4, 516236: 5}"
A1T19HKL9AI6HI,{501475: 5}
ARAWFK0HNZORH,{501500: 5}
AS01YM1UGPSTT,{502222: 5}
A2GVHPP6QEQ6RH,{502223: 5}
A1OAVB9EL63XPF,{501593: 1}
A2GJTXXP93CQF0,{501629: 5}
AGRJPUO21267T,{501637: 5}
A2DZGGISEGMPY1,{501640: 5}
A3930YFFEIWFBA,{501726: 5}
A5B2P9AXPF9GZ,{501731: 5}
A3LNFORCWD5RGT,{502232: 5}
AF8IKOEMUC0R4,{501888: 4}
A3D6R3DPIZ8YY0,{501909: 1}
ABP537AG6D5W9,{501920: 5}
A1VF0VUI7EBDY0,{502249: 1}
A1JEQ28XKIT93C,{504708: 3}
AVIPMXZC5LHLE,{504711: 1}
A1JHAQ1AM9LGCG,{502295: 5}
AGJAKW5K9ABC2,{502348: 3}
ASFNDO4B2DGXY,{502351: 2}
A2N0P3ZCAOSM3T,{504754: 2}
A4IEZBRV25ABK,{502426: 1}
A3NMI4DQ0BBJUE,{502461: 4}
A1PC02HQWYGWTZ,{504768: 5}
AP1XJFS1HXDEE,{504771: 5}
A1AJTPIKEKX6G,{502532: 1}
A2P4F848B27M79,{502605: 3}
A2JXG2B5LE7CSO,{502653: 1}
AK0D4NKMQY452,{502669: 5}
A2DP3Z5AD9SQX3,{502724: 1}
A1K5F8XMI1V9MI,{502777: 2}
A2B1IL2NE0LT02,{502789: 5}
A136COAIWZGW1N,{502804: 5}
A1JQZFOAIOGY7F,{502863: 1}
AXF6BSSRP0SW9,{502892: 5}
A3LRU79CTUTJ6R,{502898: 5}
A2LZ3S926KP1II,{502911: 5}
A3QGN9QG73GN7Z,{502911: 5}
A2HYYQX22QS6NG,{502920: 5}
A3U0WIXJEG6UH3,{502939: 1}
A3G9QHCVUQWSAU,{504833: 5}
A35N5GZFUJH5GI,{503031: 5}
A1WSVMM1T1Y3JY,{503047: 3}
APRYOJNPMZ3PP,{503053: 1}
A1FP6KPETOACE8,{503053: 1}
A1DBF9QIA5Z6OF,{503150: 4}
A51JWPHULQ451,{504850: 3}
A1INN6TWQQ0RC7,{504851: 5}
A1LOCXJ19TZT7D,{503225: 3}
A3OYO6E0HO4PQ7,{503245: 4}
A2IBPMB2H0V6G3,{503289: 5}
A1516MRQ4HP3BN,"{503350: 5, 515599: 5}"
A123K4RR50UU69,{503396: 5}
A2H5JWQ0O2DCUM,{503448: 5}
A39UUD28RVX6L6,{503448: 1}
A18XBHOFLERHSH,{504875: 5}
A1O2JRAIZTXUXY,{503635: 4}
A2841NBZR2CIXP,{503647: 2}
A2EG2LNSA1ZP7M,{503676: 5}
A1UB9ZYWEXL5MA,{503690: 5}
A3U8CB1OTDI0AP,{503719: 4}
A3KXYKB7LBR8F4,{503756: 5}
A3NH1TSFEPAN1Q,{503904: 1}
A30U96JEWUGNOF,{503941: 1}
ACY5Y40WEY728,{503998: 1}
A2HSQJY7GJKJ1O,{504013: 5}
A1TK4CGCOEE2X,{504040: 5}
A1KB1DCDJ9N784,{504098: 5}
A11LG9V9WQOYBL,{504123: 2}
A5C394UPERXMD,{504123: 4}
AMUPORYKTPD69,{504123: 5}
ARB2W35EMV1A,{504159: 5}
A2SWFJ9OHNX69B,{504167: 5}
A1DG4PEN6W67H0,{504185: 5}
A3M4F0V7WM9BY8,{504306: 4}
AJCQS45CCIXHL,{504449: 4}
A2BTDZZ93EHMME,{504522: 3}
A7WHQTEDTUVAD,{504612: 5}
AEWT036SN13NJ,{504677: 1}
A1MJWK2AXTD18Z,{504942: 1}
AV5RUSUO6A6TH,{504943: 1}
A3N48QK5FTA2IY,{504970: 1}
A20C9OG6NCKDKC,{504972: 1}
A1W5P9KG9O6XD2,{507348: 5}
AP5GHBEKUPEET,{505061: 5}
A16VY3G7VTA8DA,{505069: 5}
A2MQYVZT4S5DMO,{507372: 3}
A2M4ALJJATQJBZ,{505162: 4}
ATQ5S5SNU3WA6,{505175: 1}
A3CLB3Z05FLEPJ,{505177: 1}
A3R3ER8VT5BJSP,{505189: 5}
A112FG9AMKVV08,{507377: 5}
A36LBEVGJK8NCU,{505277: 5}
A2W6ADIGPV5V1U,{505366: 3}
A3578HUL03HYJD,{505390: 1}
A16JMB9MX0AU03,{505393: 5}
A20ZWLKOWC37YG,{505401: 3}
A10624DHSCDC3K,{505484: 3}
A1WD23NLNQ80YZ,{505502: 4}
A28DSCUJDI0PPB,{505515: 5}
A3SX3KT68CENWL,{505515: 3}
A2FTSI1M50L0GT,{505543: 3}
A2DMGW3AJ1SXJI,{505618: 5}
A321RR7HZIWYPJ,{505676: 5}
AX6NCGI2GSWRA,{505738: 5}
A2P98OXX6WYAYD,{505806: 4}
A212GOU5JTK8JL,{505806: 2}
A1TCDUKJS016GB,{505810: 2}
A24F02IF5JHXVY,{505815: 5}
A2R1JV7SRGBAFA,{505815: 5}
A2UZOYQQUT5JT1,{505815: 4}
A2THLK9RAPCD2L,{505815: 2}
A1H8CPG82OHA5P,{505815: 1}
A34RSJMZMVHUYI,{505816: 4}
A39YN981ZMI7Y1,{505816: 1}
A2HPYEAPGX86U5,{505817: 5}
A2RTQCLHLO33R,{505868: 1}
A3T19PBW4FMQK6,{505913: 5}
AN24BUKLZLYD,{505932: 5}
A3BIQQ7SOC4F68,{505953: 5}
A39C5NC5U7XS4U,{505953: 5}
A2ZPYJ581ZY2D8,{505953: 5}
A25J0E6L9JYP03,{505992: 3}
A3FSE9YO0LSEY,{506062: 1}
A1F2F8V75PRKZ,{506068: 5}
A32Z7VE7QTHF1I,"{506068: 5, 520111: 5}"
A2TN3DLVC7Y8V,{506105: 3}
A27SQOZBAEIJTX,{506169: 4}
A2HFFRAWADKZSS,{506276: 4}
A14AZ55HEE751O,{506276: 5}
A28WVRFQ05VZFU,{506276: 5}
A1GEXY6HQR0FV2,{506361: 1}
A35HO3NKAK3QB4,{506361: 5}
A2CKIV4BQURD9O,{506361: 1}
A4WNNR4R92D5Y,{506361: 1}
A18XYZ9HIHMIFR,{506361: 2}
AY327MTVIGWXU,{507488: 3}
A24D6K4VXDGXDP,{506472: 1}
AR74UBUA2GA3K,{506483: 5}
A1F247N4ZBWXQ0,{506503: 2}
A1HMHKBB6IZOZN,{506503: 5}
A3PJJWNFCPMT63,{506503: 5}
A1MYE88NBH8FQ6,{506518: 3}
A2F9OVG8L4YJEZ,{506566: 4}
A1KIFGYHBW12U8,{506601: 4}
A3UY2UWHLR35JI,{506657: 3}
A1G1JKDR2LETS6,{506657: 5}
A2NAEV2EJBEGMM,{507499: 5}
AFLNN9MC049HN,{506738: 5}
A2AC21UPRR1JPE,{506784: 4}
A3EO2JXJOU4HIS,{506886: 1}
A2XA3NLPB4TVML,{506900: 3}
A2Q14FT5B6SG49,{506900: 3}
A19KJ9V6Y9CUAW,{506900: 4}
A3D7STJIUPSTGG,{506985: 5}
A2GCKFZCJ5HJPC,{507037: 5}
A26CEFGJE5GUZL,{507117: 5}
A4074CLS06POQ,{507157: 5}
A24UYBUANQZIUL,{507183: 2}
A1AFUZWLDKXOZH,{507532: 2}
A14A1T14J281D4,{507543: 1}
A2XF96C2DYFMJI,{509963: 5}
A1FDMHKIC3OLP7,{507584: 5}
A39MU2ED9O0IGO,{509989: 5}
A2E6RT3WUII34Y,{507658: 1}
A15DPED0HV4GEL,{507702: 5}
