A3152KT8N27WTF,{98: 5}
A37FJBTXQSOR8,"{22148: 5, 53962: 1, 112547: 1, 142631: 5, 192320: 2, 240517: 2, 402971: 3, 434881: 4}"
A1BLQWT9B7BXF9,{22686: 2}
A119QOAEX9NTP2,"{21160: 5, 198459: 4}"
A2R0ZZ78X82YZW,"{21160: 5, 203221: 5, 316965: 2, 390785: 4}"
AYPGPTP3RWDVT,{21160: 5}
A3AGK656WUSOJ2,{21352: 4}
A4EPMO8JACFN3,"{21130: 5, 35264: 5, 58427: 5, 74920: 5, 149612: 5, 228631: 5, 254103: 4, 286438: 5, 302541: 5, 360812: 5, 437903: 5}"
A3KGHR7YK0G78W,"{21130: 2, 49223: 5, 135657: 5}"
A1DXVSTGMRIQS0,{21130: 1}
A10EEABHWXC14,"{23304: 4, 121723: 3, 152063: 5}"
A2TQM8EHGZD5U6,"{21149: 5, 149671: 5}"
A2T1KZZMC5GKOD,{22062: 2}
AWJ82FPXARAGH,{21650: 3}
A1F7LDG24U7MGJ,{21561: 4}
A20IET1CN3ZFDK,"{21548: 5, 442931: 1}"
A2FATBB8RI9YID,{21548: 1}
ADHVG40DQYWA0,"{21127: 5, 226264: 1}"
AH3WG15JUVJ1H,{22447: 5}
A2RJY2H7VXVFJY,{21129: 5}
A1KZJAEPC6DCFN,{21943: 2}
A3JINOP0C5NKNK,"{21327: 1, 44569: 5, 124439: 3, 219374: 5, 231135: 4, 403136: 4}"
A2MAWIE2T1ZDHF,{21588: 5}
A36B4AHDB89LU7,"{21588: 5, 265609: 5, 317075: 5, 386509: 4}"
A20YM9QHCUOWYK,{21530: 5}
A2RCBDI5OLFF5E,"{21180: 3, 198646: 3, 240130: 2, 328141: 4}"
A2ME95FWAS67S6,{21226: 5}
A27J6KRDS5V5BX,"{21226: 5, 360896: 1}"
A3R64CAKTJ7P49,"{21226: 4, 226350: 5}"
A2WDDW22I5SIE4,"{21226: 5, 93888: 5}"
A251RNU9WAVA5F,"{21206: 5, 44555: 4, 136542: 4, 342203: 5, 407655: 5}"
A2UN20KYP6K7D6,"{21139: 5, 235506: 5}"
AG247VCGZVQ99,"{22055: 4, 77383: 1, 93805: 5, 147575: 5, 205584: 5, 265850: 5, 268265: 5, 339850: 5}"
A1DRBWN4XHC2WF,"{21447: 3, 191517: 4, 332835: 5, 449683: 1}"
A1HMWTL937UXR3,"{21341: 1, 461355: 5}"
A3GJ9PZH4O7JXV,"{21506: 5, 156570: 5, 360846: 5}"
A3JLSJM9VONP73,"{21136: 5, 76351: 4}"
A095008827UP0JIDH6THL,{21136: 5}
AED3A8BUMLC6C,"{22705: 1, 219916: 5, 360827: 5, 372670: 5}"
A1HKKRUVZA2VYH,{21143: 5}
A2W8O4168XP62R,"{21143: 5, 200796: 2, 311871: 3}"
ASPEYI2PSA3KK,{21143: 5}
A8V9DOYT47VG5,"{21143: 4, 156547: 5}"
A0084499EAYOASU5QC0O,{21763: 5}
A2ZT3BMQFMBGIP,"{21793: 5, 44531: 5, 65909: 4, 84537: 5, 115387: 5, 128707: 4, 149623: 5, 157426: 5, 207938: 5, 237995: 3, 251297: 5, 272378: 5, 272354: 5, 281747: 3, 288620: 4, 302520: 5, 314200: 4, 319077: 3, 328279: 5, 330495: 4, 337515: 5, 342535: 5, 351936: 5, 356132: 5, 381807: 5, 393442: 4, 396262: 4, 412754: 2, 440473: 5, 445029: 5}"
A3TLXXQRG7PKZO,"{21232: 5, 424291: 5}"
A2II6H144HMNIZ,"{21349: 2, 98508: 3}"
A1OMNFSP1C9ZV4,"{22963: 4, 205512: 5}"
A3G7OV4Y6LWUDM,"{21404: 4, 25784: 4, 138017: 5}"
A3UYWBFKYOKEWF,{21145: 5}
A3QMJV2N5XAK,"{22160: 4, 323948: 5}"
A25X5423GE42QQ,"{21171: 1, 140354: 5, 261101: 5, 286398: 2, 426128: 3}"
A1E4777NRT1ED3,"{21171: 5, 53704: 5}"
AJ2NYX19FYNDJ,{23112: 1}
A7UD2H8VBT7SY,{21243: 5}
ANQ5G1YFE7SIB,"{21243: 5, 156605: 5}"
A09094013N9VNU8QPZSM7,{22354: 5}
AHH414KJMHX2C,{21199: 4}
A3R5JLFIS6U68U,{22782: 4}
A2AH54MU19DB1,"{23199: 5, 107871: 5, 158907: 3, 194001: 5, 391443: 2, 455982: 5}"
A34WQ8YT21HIWW,{24414: 5}
AY43XII1VJK72,{25133: 2}
A9KOIFCCG5J80,"{24343: 3, 23450: 3, 82064: 4, 161421: 2, 265694: 3, 279539: 5, 297879: 4, 300172: 4, 444936: 5}"
AHBJHWCSYOJU4,"{23536: 5, 23773: 4, 65645: 5, 289060: 2, 351651: 5}"
A2STJUKMLLVR0Y,{24577: 5}
A247UVQY8MP5RX,{23472: 1}
A1TO9W5VSWN5ZN,"{23509: 5, 277014: 5, 284180: 5}"
AZ84DWRSMCR5K,"{24080: 4, 148990: 5}"
A284J9A0E9A8QW,"{24059: 5, 169460: 1}"
A7L032M2KRCR2,{23490: 5}
A28BW1OHJGOJSQ,{23490: 5}
A3OBHG1AW3LBG5,"{23487: 4, 119542: 5, 126455: 4, 342379: 2, 349489: 5}"
A6N3T87H8HAOT,"{23487: 4, 82367: 4, 184851: 4, 309608: 5}"
A36G1U7XOYI427,"{23599: 4, 156834: 4, 300190: 5, 438294: 5}"
A3AK2BQY0KVNXV,"{23561: 1, 302492: 5}"
A2QEFVZVX04C67,{24162: 5}
A11NLT6O53BNWR,"{23638: 1, 35659: 5, 205418: 5}"
AHCF2RSLMDKTQ,{23589: 5}
A2B3LX0I0G2FGO,{24143: 5}
AQO9E2UMDAOCL,"{24158: 3, 186965: 4, 445086: 4}"
A2O8V5X81ASH39,"{23452: 2, 30462: 1}"
A34DFU94SUMRKW,"{23720: 5, 261004: 2, 344468: 5, 356358: 5, 358451: 5, 426116: 5, 454378: 5, 461394: 4}"
A26GD3J2FAGGLJ,"{23769: 5, 93992: 1}"
A1YJZEIXLLTMKB,"{23449: 3, 58962: 4, 237837: 4, 460644: 4}"
A37T0LL12KWXBZ,"{23449: 3, 42166: 5, 344487: 5}"
A2B52QZ73BMFLJ,"{23694: 5, 161419: 1}"
A1DN1KO8BRAJ7L,"{24424: 5, 103213: 5, 163518: 5, 177658: 5, 187008: 5, 191879: 5, 293339: 5, 342198: 2, 370786: 1, 412771: 1, 464727: 5}"
AIL6VNBJC2MDF,"{24847: 5, 23564: 5, 35258: 4, 40008: 5, 49232: 5, 51534: 5, 56606: 2, 70263: 3, 103228: 5, 103313: 5, 112519: 5, 115099: 5, 142634: 2, 145865: 5, 151236: 5, 173051: 4, 211424: 5, 215062: 3, 221938: 5, 224388: 3, 234076: 1, 240359: 5, 242387: 4, 244659: 4, 244748: 1, 251968: 5, 286593: 5, 295891: 5, 316803: 3, 330495: 5, 344465: 5, 349837: 5, 354133: 5, 356132: 5, 374687: 5, 389380: 5, 395981: 5, 398414: 5, 438575: 5, 440540: 5, 454677: 5, 463792: 5}"
A2PPAH2BA57QWP,"{23602: 4, 328133: 5, 412327: 4}"
A2JYZ8IPB4VHZS,{23520: 3}
A2O3UENHQAXWEE,"{23606: 5, 40160: 5}"
A341ZG6GMQSKVS,{23606: 5}
A2I3F1W6AG2JNL,"{23606: 1, 180372: 1}"
A3P29WOCGCHH7Z,{23492: 5}
A31JIKJTTZ7DLG,{23580: 4}
A1ULFWJW8AODO5,"{23511: 2, 180506: 5, 252059: 2, 289123: 4, 426944: 1, 437919: 3}"
A2K5X0EIJ1HXE7,"{23538: 4, 122393: 5, 290938: 5, 311906: 5}"
A14AIG140OQKY1,"{24651: 4, 28241: 5, 124196: 5, 192082: 5, 323549: 5, 347080: 5}"
A1HY21Y2PMW2VY,"{24053: 4, 86770: 5, 89714: 5, 97928: 3, 122741: 4, 126489: 5, 131125: 4, 135777: 5, 200245: 4, 210334: 5, 212580: 5, 214263: 5, 229363: 5, 333113: 2, 391274: 5, 407956: 1, 447839: 5, 454555: 5}"
AY78EXKCEASG7,{23473: 5}
AUP8JBNGZE166,"{23473: 1, 288814: 1}"
AAJSBKDD9FIDI,"{23473: 4, 49225: 5, 173248: 5, 435484: 3}"
A3T5V36CSGWTH6,{23545: 1}
A3TCGIUJIGXRJ9,"{23565: 5, 74920: 5, 79695: 4, 98482: 5, 142698: 4, 168556: 5, 189528: 5, 240130: 1, 274684: 5, 299655: 5, 300338: 5, 302541: 5, 321717: 5, 323530: 4, 351565: 5, 356166: 1, 379483: 3, 393775: 5, 400688: 5}"
A1NYQNJ4DQ2EQ7,"{23450: 4, 65536: 5}"
A3KDAWATJMZUVP,"{24193: 5, 371455: 5}"
A3IFWZVN7BPC6L,"{23591: 4, 302690: 5, 414655: 5}"
AAOAQ8YWA5FEY,{23571: 5}
A39PWVSDCWPUPI,{23459: 5}
AG3GWS0QO9KMT,"{23444: 5, 192250: 5, 217273: 1, 240371: 3, 454743: 5}"
A11K9WQ9YPZNRD,{23444: 3}
A17TBI8JWYW2B3,{23444: 3}
A3L1LS30TJ9J5S,"{23444: 5, 35304: 5, 256328: 5, 353818: 4, 393609: 5}"
A3KRCCT55ESIR4,{23444: 1}
A11DOZ8CRI1JI,{24023: 5}
A31RQ7ZCJZ3R38,"{23765: 5, 60940: 5, 119700: 2, 414751: 5}"
A20N4K75V1ZPEJ,"{23568: 5, 91511: 5, 305183: 4}"
A1J57IQZB7PL9R,"{23585: 1, 49210: 5, 205500: 4, 295761: 5}"
A2FQK15BRBXI32,{23533: 4}
A6987JQ9BGQ04,{23652: 5}
AH9E7OJYOH0WL,"{23456: 2, 333014: 2}"
A15UP4QYUAHTYG,"{23770: 3, 58424: 4, 175208: 5, 214964: 5, 417813: 5, 433499: 5}"
A3N661FNS3IHV3,"{24517: 5, 254352: 5, 400635: 5}"
APEX4WCTUR2BN,"{23517: 4, 314167: 5, 337494: 5}"
A2OP0Z1ADF7WZZ,"{24005: 1, 93888: 5}"
A3BXFGMK3JVD6L,{23619: 3}
A1EJ4YRE7P2Z3K,"{23636: 5, 451989: 3}"
A35EWJ760MIAGK,{24238: 5}
A1V94ABDINONJZ,{23445: 5}
A34AVURBD48ANP,"{23608: 5, 328148: 5}"
A1TI3CCTFSKMGZ,{23470: 4}
A2CLLT41FWXWR6,"{23438: 1, 75230: 1, 177588: 4, 189294: 5, 190281: 5, 277456: 5, 281892: 2, 307148: 4, 332935: 1, 405697: 5, 407755: 1}"
AR8JGHE267RSN,"{23501: 4, 286444: 5, 330495: 3}"
AF3SW2TRK3RCF,"{23501: 5, 121701: 5, 140354: 1, 221682: 5, 295552: 5, 353889: 3, 412297: 4}"
A3D2O5DD5LYYV5,"{23501: 4, 379425: 5}"
AJ0CGEUYAEA3V,"{23501: 5, 205432: 4, 288615: 5}"
AITHWFTZMQEHG,"{23501: 1, 128896: 4, 221712: 5, 230166: 1, 236068: 5, 302590: 5, 316642: 5}"
A1EHB40BXSNYQC,"{23436: 3, 51716: 5, 145216: 5, 258659: 3, 258683: 5, 258932: 5, 353826: 5, 400630: 5}"
A2ET6AVG2HWY66,"{23471: 2, 226252: 5}"
A3B5NW0GLV8ZPB,{23677: 1}
A2E9U1OLF7OYT9,"{23677: 5, 242763: 4, 453052: 4}"
A2H3D2SPPI7RY6,"{24499: 5, 75137: 5, 115787: 4, 128732: 4, 379691: 4}"
A3PDTUL82VEBX,"{23669: 1, 430817: 1}"
A1X2VTFM24S6MM,"{24126: 5, 138062: 5}"
AI8WKBUW0XAXA,"{23647: 5, 107996: 5}"
AKYYJM67XILP8,"{23462: 5, 30474: 5, 67878: 4, 344490: 3, 419240: 5, 454369: 5}"
A2KIZDY1HVRWO1,{23793: 1}
A1BMGA7NP228CI,"{23564: 5, 215033: 5, 303079: 4}"
A1IW2P9OG35H3K,"{23623: 3, 30499: 5, 264171: 5}"
A3P4WOECOANW1M,"{23683: 5, 96213: 5, 154443: 4, 178107: 5, 254103: 5, 293255: 5, 302807: 5, 447764: 2}"
A3QZ1EMKQA8QFO,{23590: 4}
A1RP1WV49VZ0P2,{23930: 1}
A1RKZVKAHPJHOO,{23587: 1}
A3U6TJ8EJOVA7A,"{23532: 1, 177541: 3, 329203: 4, 401093: 4, 407875: 5}"
A4HQ3C2TX45SL,{23610: 1}
A3K053KDGBXYRH,"{23451: 5, 182296: 5}"
AWSWJ37K1OD8R,{23451: 5}
AZNZVDBGH9JRJ,{24047: 5}
ALYXEZRCLFUXW,"{23632: 5, 47121: 5, 133519: 5, 237956: 5, 372892: 1, 379452: 5, 426122: 5, 465041: 5}"
A168KJO4YZT620,{25657: 5}
AMHZDY2C4J0TE,{24215: 5}
A32LOP5CCV2QGN,"{24920: 4, 244641: 5}"
A194CK73XGVO32,"{23481: 5, 112550: 5, 235506: 5, 351717: 5, 365396: 5}"
A2WNEEYZSZG23P,"{23481: 5, 79727: 1}"
AKOENOAP5UYU2,"{23481: 5, 231135: 5, 339871: 4}"
A4DXLWIDM7OHU,"{23481: 5, 186931: 5, 365396: 5, 368624: 4, 381838: 4}"
AFYFXXTQ2W5PF,{23481: 5}
A271T9KM0PEXOM,"{23911: 2, 75611: 1, 117116: 4, 142643: 4, 322886: 3, 389162: 4}"
A2LDR2J7CADKBT,"{25044: 5, 302521: 5, 372383: 5}"
A02734382TCW13I4YD1LE,"{23961: 4, 92398: 5, 131347: 5, 147783: 5, 302602: 5, 366336: 5}"
AYGWALM3AFJQE,"{23604: 5, 91831: 5}"
AZX8VSGKSIR14,"{23604: 4, 210707: 4, 277023: 4, 307148: 5}"
A3LMOVFACIPWQE,{23440: 5}
AYFZZUU5I3VSP,{23440: 5}
A2XNRMA8AE2TYR,"{23440: 4, 422608: 4, 425039: 4}"
A1DPXIOF0ZA3Y5,{23440: 4}
AST4MK1KYADMH,{23440: 2}
A1MNB0CCHQZNL7,{23440: 5}
A35R2SV4JISFEH,{23875: 5}
A1VRGOO41R35QE,{23592: 1}
A3HBF34DNS9HO6,"{23853: 4, 156978: 5, 196737: 5, 328176: 5}"
A19OFK7FVVR5J8,"{25344: 1, 426407: 5}"
ATUJU4XPVVFZD,"{23826: 5, 293262: 4, 349240: 1}"
A3NTZPSDND6MN9,{23748: 5}
A1UJ40G7R7R9O0,"{23748: 5, 450443: 5}"
AWY7A0O0CSOZ1,{23516: 1}
A3GDBMH7Q3OLQW,"{24103: 5, 54225: 5}"
AD2IG9PG6PC8X,{23674: 5}
A2RVBGMRY72DYI,{23925: 4}
AX6LZQJL7FCIU,"{23447: 5, 89147: 5}"
A17TV0AAUHKXUX,"{23447: 1, 106143: 4, 163501: 4}"
AT80WB1QPHM2W,"{23447: 5, 217150: 5}"
AGUYGDS6JKZE,{23447: 4}
A2QMXLQGX6PVS3,{23582: 4}
A247W4V94YPFNG,"{23541: 5, 65621: 5, 117458: 3, 132013: 4, 156547: 5, 177573: 5, 226295: 5, 278179: 5, 290938: 5, 330733: 4, 358646: 5, 400662: 3, 403502: 5, 404098: 5, 433497: 4}"
A274F11BKIUGU6,"{24491: 5, 168153: 1, 226260: 3}"
A2ZLK55HNT2HPS,{24298: 4}
ADONJ9QVV7L89,{23464: 5}
A3RA6JP24MO62Q,{24905: 1}
AI4FVSE6NRWB5,{25959: 4}
A1BOYZV98EWOYR,"{26532: 1, 396545: 1}"
A245G04TIKN5ZS,{26671: 5}
A1TSQ9H4FXXA74,{25802: 4}
A3E2SNULVPZ0AQ,{25802: 5}
A1AFHWXZX5XIML,"{25802: 3, 165763: 5, 175330: 5, 430777: 5}"
A8M09J5ETZ7VW,{25882: 4}
A2EDSQM01IT8VQ,{25954: 5}
AHT89A03JVW06,"{25954: 4, 224012: 4, 324676: 3}"
A32DV6IF316BC0,"{26230: 5, 200566: 5, 435526: 5}"
A3CEFTSE0BCNRD,"{25989: 4, 182535: 1, 233940: 1}"
A2GHJBSHLXF3TD,"{25919: 2, 30819: 4, 163526: 5}"
AJ6BE7SE5HQN3,"{25919: 5, 118415: 4, 226258: 5, 254102: 1, 262532: 5, 379955: 3, 421141: 3}"
A3AL188YDMFSJ8,{25787: 5}
A3KDXB0BW5AVUV,{25999: 4}
A3FM0T3XQPPAKT,{25887: 2}
ABZB847YVQIJ6,"{27323: 5, 319092: 4}"
A2P4MH0BRTS75O,"{27011: 1, 103107: 5, 164148: 5}"
A3B2DTQ8U3VB2Q,"{25895: 5, 105689: 5, 147357: 3, 205584: 5, 247028: 5, 265551: 5, 277191: 5, 400628: 5}"
A2T68NDCU24VTD,{25895: 5}
A3EKBCRIZSLOQE,"{26043: 5, 240127: 5, 251798: 5}"
AT1V8VT8S9HXH,"{27159: 1, 237056: 1}"
A2EP4PKUQO5TXW,{25786: 1}
AKUWKUR7CDELZ,{25786: 5}
A2GI1DLQ8H5UQQ,"{26727: 5, 89388: 2}"
A21XA5QAW7O43F,{26325: 5}
A2J2A6C0IUIZLD,{25878: 5}
A2QCU9RGKKSLXD,{25935: 5}
A3MEJYYW4DKUUI,{25833: 5}
A2BAP8AY2XINBI,"{25833: 5, 37831: 5, 300181: 5}"
A1XC27NWHUPHC9,{26345: 2}
A34T56E2UEB00G,"{25781: 5, 281760: 2, 414612: 5}"
A2JKVXULW3COWQ,{25781: 5}
A3QTDEO8XKTA3H,"{25864: 5, 89144: 5, 461354: 4}"
A3LGB19E1BUY4F,{25864: 5}
A1MPBDRAR6E5BO,{25864: 4}
AD6AX2KLXNWLX,"{26194: 2, 110229: 5, 265540: 4, 405358: 4}"
A239MFM40GO85W,"{26166: 2, 122145: 3, 184642: 5, 265569: 2, 302539: 5, 356119: 1, 429338: 1, 459027: 4}"
A2Z5XVAWYFXO3,{27787: 1}
A2D0AHPMF9FJOB,{25924: 5}
A28M2G85JH2SAK,{27238: 3}
A2R2BYLGA3W08Y,"{26091: 4, 384622: 5}"
A3NY7XGYUOU86G,"{25975: 4, 58491: 5}"
A31VR6OAPO4DRP,"{25789: 4, 105689: 4, 168141: 1}"
A3QSH3PFNXCRDD,{25857: 5}
A2WCOH3S3VZZEF,"{25857: 3, 196093: 5, 236877: 5, 293255: 2, 358446: 5, 360826: 5, 391262: 5, 452026: 5}"
A1X64ETAWMVBUO,"{25857: 5, 316584: 5, 395931: 5}"
A1RJADGUB25N3B,{26068: 1}
AIGU8GTIVDI4O,{25969: 5}
A18I53PRBVAS3P,{25788: 3}
A2I20Y1LB5TM00,{26159: 5}
A346FE6EZJNOS7,{26159: 4}
A1XTGBWP6W2Z19,"{27955: 4, 35416: 4, 49255: 5, 298069: 5}"
AHBVWJGI5P3E1,"{26118: 5, 57859: 5, 75741: 5, 172948: 5, 249724: 1, 335193: 5, 367931: 1}"
A1OOELEMHCGZ3S,{26477: 2}
A1GPALVCY9FWDG,"{26012: 5, 105662: 5, 205418: 5, 328133: 5, 365703: 5}"
A328IL811X7W7D,{25817: 5}
A116BVYAUQNOG,"{25817: 5, 124303: 1, 172889: 3, 258656: 3, 337544: 5, 338761: 1, 353919: 4, 360939: 5, 386536: 5}"
A1DXS7ZNSWPWUP,{26323: 4}
A2NPU1W1FZWYV0,"{26168: 5, 184847: 3, 240422: 5}"
A2NZVETUPR5I21,"{25880: 5, 68051: 1, 217113: 5, 433579: 5}"
A7YZ5VH0XBZD4,"{25880: 5, 103228: 5, 207740: 5}"
A3OYL6VW4X020L,{25829: 5}
A36LKN6HJ3S1KE,"{26052: 4, 79826: 4, 121700: 3, 161182: 4, 461512: 5}"
A3IP16UMN7366S,"{26358: 5, 226267: 5, 286747: 5}"
AJYCXD0JJW2KF,"{26358: 2, 135947: 3, 342233: 3, 360939: 2}"
A1S0WKD2UC52GM,{25936: 5}
A33DJIWIN7VP65,{26549: 5}
A1CNRPJPYAUU2H,"{26078: 2, 52329: 2, 110342: 4, 251869: 5, 300471: 4, 304838: 2, 335266: 2}"
A2AMESPJK6NRUS,"{25901: 4, 161869: 5, 168515: 3, 184616: 5, 307325: 5}"
A3LKMCVR6E54LX,{25927: 1}
AXB6ML2S5AJ0Y,{26237: 1}
A2S0DU8QTQSKWK,"{25904: 3, 28154: 4, 138144: 5, 157190: 3, 247156: 5, 254088: 3, 272391: 5, 386745: 3, 410119: 1}"
A28BG36GUP1GE3,{26954: 4}
AEHRXKPGF12ZK,"{26003: 5, 124358: 5, 258659: 5}"
A18CA5IBCKZD1N,{25842: 5}
AP3W96STGCJM7,{25783: 5}
ACFGU8F4CVQFS,"{26574: 5, 28139: 4, 66092: 5, 89433: 1, 152652: 5, 200816: 5, 226273: 1, 312312: 5, 351817: 5, 360887: 5, 372542: 3, 395949: 5, 426324: 5, 445172: 2, 447345: 5, 455156: 5}"
AM9RIREEK9M4I,"{25845: 1, 187005: 5, 256336: 5, 277036: 3, 371652: 1}"
A2ETL5AENJF45M,{25881: 1}
A38BXZ6PQL2WP,"{25862: 5, 161436: 5}"
A2LAIG4KNPEFHV,"{25980: 3, 77581: 4, 351630: 1}"
AS15S4PIBWZ2T,"{25800: 5, 67353: 4, 307192: 5, 395931: 5}"
A3R0Q8RW9VCGDG,"{27757: 4, 440241: 5}"
AE2VJY9818U9U,"{25809: 3, 175739: 5}"
A2KJ8UNVUQLVFA,"{26127: 5, 98675: 5, 129404: 5, 202134: 5, 206900: 5, 207370: 5, 213138: 2, 249330: 5, 307364: 3, 318844: 5, 325820: 5, 356545: 5, 381773: 5, 398916: 5, 404385: 5}"
A1GQK82HMSC6B9,{25988: 2}
A2TDO8MZ2UPRPO,"{25797: 4, 286625: 5, 293252: 5, 412375: 5, 424614: 5, 442624: 4}"
A34TUGW39KH4TZ,"{25797: 5, 59091: 5, 182346: 5, 184951: 5, 233278: 1, 325935: 5, 393802: 5}"
A1XSQT9VGVUVIM,"{25797: 5, 28106: 5, 37760: 5, 74920: 5, 263246: 5, 270224: 5, 293401: 5, 314182: 5, 330495: 5, 332850: 5, 400686: 5}"
AOOQPME039Y8Q,"{25797: 5, 158856: 5, 161244: 5, 198361: 5, 198759: 2, 200714: 5, 214845: 5, 265807: 5, 293258: 5, 374671: 3, 395931: 5}"
A1BPGC0XV5KWBT,{25797: 3}
AS8SOM2W2PU41,"{25797: 5, 35376: 5, 49220: 2, 51571: 5, 67917: 5, 105519: 5, 112511: 5, 156516: 5, 161184: 5, 179946: 5, 186948: 1, 295524: 5, 302541: 5, 335326: 4, 374664: 5, 395931: 5, 412591: 5, 423899: 5, 454378: 5}"
A3IDE6YCK6708C,"{25797: 5, 207887: 5}"
A1IPD7BWIEBDJY,{26961: 1}
A1USRM52LF00O6,"{26590: 2, 28136: 4, 37730: 5, 51483: 5, 58429: 5, 179920: 4, 217089: 4, 325981: 5, 363068: 1, 381764: 3, 465279: 4}"
A1HZBAECW6P5LW,"{25808: 4, 121717: 5, 138626: 5, 291045: 5, 295677: 3, 342181: 5, 351507: 5, 363558: 5, 398269: 5, 410502: 5, 412301: 5, 442723: 5}"
A21992ULAMNFZL,"{25808: 5, 139160: 4, 281745: 3, 316541: 4, 344785: 4, 416851: 5, 454481: 4}"
A2KDUNMI83A3P7,{25808: 5}
A1OW8HE2ZR5SNZ,"{25808: 5, 96178: 5, 105528: 5, 309597: 5, 337539: 5}"
A24U293P26U5HC,"{26471: 4, 328122: 5, 372621: 3}"
A19MFOWI5FCGIU,"{25806: 1, 414628: 5, 459651: 1}"
A1CP1AQACU8SZG,"{25806: 5, 77480: 4, 182290: 4, 218235: 1, 314786: 4}"
A23A0SXUF6KKF3,"{25791: 2, 189269: 5, 221684: 2, 351545: 5, 363160: 4, 388849: 5, 447382: 5}"
A26MRQEBNKB6Y1,"{25791: 2, 91655: 1, 205779: 3, 388849: 5}"
A8BU1PW64PQ9F,"{25827: 5, 124131: 3}"
A2NPK1KMV4X05C,"{28024: 1, 238141: 5}"
AVJ42WU0CL1HJ,{26110: 3}
A1NQEM9DQNS4X9,"{25942: 5, 78322: 1, 89145: 5, 124107: 1, 219365: 5, 242910: 5, 275248: 5, 384138: 1, 403131: 1}"
A2MM5RMCXOSGAE,"{27320: 5, 91495: 1, 335192: 5, 407721: 4}"
A14680SYR8OIAX,"{25991: 5, 49211: 5, 117194: 5, 237820: 5, 254077: 5, 277097: 5, 328133: 5, 339848: 5, 403027: 5}"
A3F5P56V4CX6TN,{26241: 5}
A1KZ0EGYBF75MB,"{26416: 5, 39958: 4, 119591: 4, 274756: 4, 291051: 4, 313031: 3}"
A10NWJQT1Q6ITP,"{26745: 4, 42159: 5, 265585: 3}"
A1UP1OFC3RM6T2,"{26745: 5, 46654: 5, 56249: 3, 73064: 4, 154720: 3, 226313: 5, 230984: 5, 270170: 5, 328339: 4, 351500: 1, 404876: 1}"
A3R8CNLVYVMWAX,"{25873: 5, 53504: 5, 421456: 5}"
A8EE46ITQEKD7,"{25873: 5, 217193: 3}"
A1CCZE04QDYYNE,"{25873: 1, 51529: 5}"
A1U6WWF4IUTJSZ,"{25873: 2, 53948: 4, 159003: 5, 163550: 2, 168153: 5, 265613: 1, 395931: 5}"
ARDEOF3US74F8,"{25873: 5, 360878: 5}"
A3FVNAW81NT3YO,"{26155: 4, 221766: 5, 297964: 5, 367864: 4}"
ATHBI62W24UZY,{27045: 5}
A31O82SHA7P41C,{27023: 2}
A59LKWY49BBJF,"{26051: 4, 191929: 2}"
A3BCRLWCVDE87N,{26926: 3}
A89BDNASYWC6S,"{26117: 5, 72633: 5, 393574: 5}"
A2EWWZ5ARKHGIW,"{25889: 3, 63168: 5, 124099: 5, 223988: 3, 349241: 4}"
A14PTBE6AR7MTA,"{25889: 4, 45398: 4, 59087: 2, 164946: 5, 172874: 5, 224254: 2, 311948: 5, 315499: 5, 363342: 4, 365523: 5, 374906: 5, 391277: 5, 459149: 4}"
A3F3SKTP1RMB7N,{26020: 5}
A3RXE32GA3FUR9,{26004: 5}
A1MGEK1NCZZ51S,{26371: 2}
A2RTL7FXMX3Q2Q,{25850: 5}
AJH3CUQZFLJAM,"{25850: 5, 226260: 1, 393745: 5}"
AWP84033EEWSI,{26601: 5}
AYZH2CF4FTMSY,{25826: 1}
A2GTEOU6A2KOV4,"{25826: 5, 416857: 5}"
A1XZDBAHDIYEVH,"{25826: 5, 409969: 5}"
A3KRDYH4Q1Y0QH,{25826: 1}
A1DWYOUAJME4BT,{25784: 1}
AMQ4CUIJUD2W3,{25784: 2}
A137ESKV7AMBHO,"{25784: 5, 93861: 5, 323555: 4, 356371: 5, 433139: 5}"
A2KKRKRV8BDKMX,{25851: 5}
A35DJBX00U5PI7,{25782: 4}
AK420URNFCL0F,{25782: 5}
A11WCHJD5U5BBP,{26249: 4}
AYC09CPX5DW0E,{26634: 5}
AFYZL2HUP3Q7R,"{25985: 4, 424068: 5}"
A2BS3K91AO4WIT,"{25798: 4, 215330: 5, 337611: 5}"
A1JA10I11VP3YS,"{25798: 5, 121720: 5, 147437: 5, 217216: 3, 372383: 3, 431198: 5}"
A2PCOHIAQVU77D,{27117: 5}
A30ZYET46DW561,"{27885: 5, 46948: 5, 170538: 5}"
A370SBQLDPPIG6,{26238: 4}
A1MKEJF7E539VG,{25930: 5}
A3QZ98AX2S8C4Y,"{26295: 4, 51497: 4, 89147: 3, 126408: 4, 240221: 1, 379890: 1}"
A228IX68ZH7034,"{25799: 5, 386253: 1}"
A2XSPSZBA58GZS,{25799: 5}
ARDSIYLCIBWOM,"{25799: 5, 39882: 5, 351586: 4, 435608: 5}"
A9UNUWJ22W8IA,{25979: 5}
A1IB9Q1HA7151U,"{25804: 5, 356152: 5, 444959: 5}"
A1A2YRNJX4QAVL,"{25856: 1, 58434: 1}"
A1HMPHYE69GCV6,{26826: 1}
AM8RF7UHUEOJ9,{25849: 4}
A8VURIS380MVL,"{26079: 5, 217111: 5}"
A2TOM960J4871T,{26142: 2}
A2C9MENQMND8RB,{27641: 5}
A1LUPQPNX6WSD4,{25868: 1}
