AJSQ9H6I2SI8,{53: 5}
A1XMEK0KG72JRN,{35905: 5}
A11BVM05JGJOGR,{35966: 5}
A3HWC1ISUIR4XG,{36060: 1}
A2227OE8EJ6KB7,{36205: 5}
A34JSLLYVPT6OU,"{36331: 5, 57429: 5}"
A1K4K218FRMYCZ,{36346: 5}
A1QNVBL4KIU9A1,{36619: 5}
AIIFMTZQ5H5DH,{36944: 5}
APDZC411HF31D,{37037: 1}
A1Y909G2F4ENOR,{37049: 5}
A8XBR09J4Z421,{37101: 5}
AKJVTHEQWGFEK,{37185: 5}
A9SNNIVPXNAS9,{37250: 5}
AAF0O2HM1MZ6Z,{37283: 5}
A2MD9T84Y6TYHF,{37350: 2}
A131Y2K72QHU4O,{37367: 5}
A2FIEH52VLXQT6,{37407: 2}
A1D3JHE4OCSJH6,{37431: 5}
A3O15SQOQW3XAV,{37613: 2}
ADKMARD7TPLNU,{37697: 1}
A1A7N8Q3T6HEQG,{37831: 4}
A2WVD52IX2FFB7,{37838: 5}
AP6FG6676T278,"{37860: 5, 62099: 1}"
A3H7PJ1MEU1272,{38056: 4}
A12ZDIZV8LWDIR,{38102: 5}
A3NVMWBFW7BQMW,{38102: 5}
AO4AAUVSHCY50,{38165: 1}
A38BT0N5BELYB1,{38200: 2}
A3D4RG3QJO9JNP,{38239: 3}
ABEQN1USMY9CP,"{38263: 4, 42392: 5}"
A1VAORWY4J01L2,{38351: 4}
A7I9TSOCN6Q3D,{38405: 5}
A2FH8VLJ7J4BSH,{38463: 5}
A203STHT5Y2S2A,{38562: 2}
A1ODGI500BTVSG,{38685: 1}
A1RER564ZF4LWC,{38792: 3}
AUBQ6W5E0Q4LF,{38795: 5}
AHF8LK1B4KRZ5,{38859: 5}
A2K058HZ7T0BCY,{38867: 5}
A1TH2VEJTKQ1AY,{38893: 5}
A2FUDZVLNSUCRG,{38936: 3}
A2NUGBLR9QOV53,{38942: 5}
AL0E5IWM4888Z,{38986: 5}
A39ZSLH65M3HUT,{38998: 5}
A2J4RL09XJEB3K,{39037: 5}
A380P13VLCQQK9,{39118: 5}
ADW7E20J8A5ZT,{39125: 5}
A31574XLRUKFK2,{39188: 3}
A3OAXHPD8QIUDX,{39259: 5}
AKRAZOXHQUMUW,{39313: 5}
A1S5OT5TO8CVLA,{39313: 5}
A2AOAFUOKDKY4B,{39329: 5}
A58A63W1YOR5J,{39444: 3}
AAJSBKDD9FIDI,"{39609: 5, 64742: 3}"
A32AXH38V5F9NW,{39726: 1}
AHYMOIL76H0HN,{39742: 5}
A15LAOJV36MROC,"{39773: 5, 52606: 5, 55208: 5}"
A2Y43JVUPNRIXW,{39843: 1}
AKRCN3Q4IZ63S,{39882: 5}
AITKFXHLRRUS3,{39992: 5}
A1HAXF1M492A5D,{40196: 2}
A1QJN53CLFEODN,{40296: 1}
A2LOU0ADIY6Q0K,{40313: 4}
AOJ5AINPBIXRD,{40356: 3}
A3LZ6A3LINCJBL,{40415: 5}
A31PJ0EGI9WQOV,{40431: 1}
A3AVAIKWFLDNTD,"{40890: 2, 58352: 4}"
AKGEHI7B64Y9T,{40961: 5}
A2OM37UZV2C8VZ,{40966: 5}
A2GJDVMJQNMT4C,"{41069: 5, 53976: 5}"
A1XFPONXBKICAL,{41100: 2}
A1T53ATGDU9TMV,{41132: 4}
A27EAJGK04HNLQ,{41198: 4}
A3RFO4WUDCKPY0,{41198: 5}
AKK634S2W4W2N,{41219: 5}
AHRWNXQCKQY65,{41373: 4}
AHBEHNVZM1G93,{41373: 5}
A2HNQ64UMFNEE8,"{41428: 5, 52604: 1}"
A2ORXS8F1N1DYG,{41475: 3}
A24BM3UT02WRPW,{41552: 5}
A21QFMJHHZOZ2M,{41683: 4}
A2MG8UTSR7AV4U,{41856: 1}
A1PAJEBKRGODM4,{41915: 2}
A1OW8HE2ZR5SNZ,{41990: 5}
A2HKYRIZNZP7TR,{42170: 5}
A3DKHPTVLU528W,"{42542: 2, 53282: 4}"
A1VBWAI8Y2Y6OH,{42613: 5}
A3SH3AUR35Z9OS,{42622: 5}
A3LC4LEPWNWUDP,{42652: 4}
A149R2BOND73LS,{42657: 5}
A1S0VT28FKYOSD,{42754: 5}
A32OXQCYGLEG54,{42996: 5}
A1FWYX1MSBYX5Y,{42997: 5}
A5CZ6E29C1JLM,"{43000: 3, 53492: 4}"
A3TEVVWQ6XNTHH,"{43169: 1, 52496: 1}"
A29812D0WGLFSQ,{43173: 1}
A3JIV0C2P2U3JV,{43210: 3}
A20NK9EQQJOMAV,"{43385: 4, 43835: 3}"
A2XA26RSPT2EVS,{43472: 5}
AZABRMWFA1K7G,{43478: 5}
A14JD4Q68QV1DO,"{43698: 5, 70639: 1}"
A2L5LU4L6W47XY,{43781: 3}
A2ACKPL1QURK5U,{43882: 5}
AJOCB8LRJRCB3,{43920: 2}
A2X6L4D54SPELO,"{43925: 3, 58653: 4}"
A12849P23HOIDU,"{44059: 4, 48717: 5, 51989: 5}"
A3A1Q0PNG7PAFX,{44296: 5}
A31UI8LFZL8J48,{44402: 5}
A1X9MK4SQQCATO,{44407: 4}
A1IXWM8E11JYRZ,{44500: 5}
A3A8ZNFXR3YNED,{44560: 3}
AB39A20AXD998,{44570: 4}
A3OSIJ8ARKMMGR,"{44587: 5, 47826: 3}"
A3MKWESYMLNGBZ,{44602: 1}
AJC2YWFIJALYR,{44700: 5}
A2XTBWSNJ0Q5TD,{44826: 1}
A14680SYR8OIAX,{44964: 5}
A1COCLWUWFE30T,{45219: 5}
A26UHVJL76YECM,{45256: 5}
A2FRKWQ7AI7MT8,{45408: 5}
A217LW2JPVEMQN,{45652: 4}
A2B3D2QV9ZCZ5S,{45677: 5}
A2UXIGB5GTMZZZ,{45700: 1}
A1KXK6XRN01PC,{45803: 5}
A2FW2Y6WWTW4CT,{45835: 5}
ACFBWKT63BZTX,{46186: 5}
A6KCUVZCAYCU6,{46235: 4}
A1T45YL5ON5KR9,{46288: 5}
A2Z0VB5DIKJCO,{46401: 5}
AAG7MZ30GQHPD,{46824: 4}
AOLG9BD0U834Z,{46989: 4}
A1U4B0W4U18ZGV,{47043: 4}
AX5K7HQV224I5,{47069: 4}
A23667B13553A6,{47095: 2}
A33W0B56SJAUHT,{47231: 1}
A37WMM79N7S77H,{47389: 5}
A17LSAL32QI1TD,{47503: 1}
A2K7JRIWKGW8SV,{47635: 5}
AV3YKSD49TUKL,{47751: 1}
A2Q20M5GQUKDYY,{47793: 2}
AGJIN6ZVON9VA,{47988: 5}
A11RDA93CA4384,{48012: 5}
A2XTE7PYJ5LSAF,{48057: 5}
A2GWMOXWRRRFLW,{48188: 1}
A35UF7IY1ZKXCH,{48340: 5}
A3HGBRRMZSW2W,{48404: 5}
A3MDCXLCTWW08E,{48424: 5}
A1NXY3Z5VILM1W,{48496: 3}
A38SMBP15C85DG,{48675: 5}
A3B65L8SIEEXXY,{48710: 3}
A7AJEJND71AQD,{48889: 1}
A12XDKHIHETZEE,"{48899: 5, 50024: 4, 52503: 5, 64995: 4, 67388: 3, 68923: 5}"
A2Y7VY43J41265,{48945: 3}
A371LYLU8THYV1,{49093: 1}
A38EAE7LZ7541X,{49145: 4}
A24MYSR827PQ0Q,{49239: 5}
A2036AGLG8TPGO,{49277: 5}
A206T7J5LDMH2V,{49343: 5}
A24EXQT83TC8U5,{49417: 3}
A3F8TBTE56VYFP,{49453: 5}
A3L4QZW0Q2QFTP,"{49476: 5, 70313: 5}"
A2X1QZZABD541L,"{49530: 5, 55272: 4}"
AG9P7WZ8Q34GP,{49545: 4}
A1862E9AENGVOZ,{49730: 1}
AY0HG6Q0MR60J,{49796: 5}
A2LTUD87PKOO7D,{49828: 5}
A2C5M1LFH8LQGK,{49833: 5}
A2QPCLZT4XYK8B,{49937: 3}
A16QABOI9G1BD,{50063: 2}
A22XDF091ZOA47,{50074: 5}
ABHB5DN9PLDXP,{50131: 5}
AT8I9P8B1L915,"{50148: 4, 68788: 4}"
A10Z5MJVKFR9J2,{50158: 5}
A40E3SUU681L8,{50282: 5}
A344N0X5LIV43M,"{50419: 5, 58726: 2}"
A2HTLWSWUKCRQ,"{50446: 5, 54554: 5}"
A284NWQRTH4RX9,{50518: 1}
AT3GCDVZV4HXO,{50545: 5}
A16JC2UELMB635,{50554: 4}
A26QP3053B7LA5,{50691: 5}
A2T2Q81DYVM0K5,{50691: 5}
A3SLWWL0W8J0E0,{51071: 1}
A1UP1OFC3RM6T2,{51112: 1}
AW1BR25G9ZK2S,{51153: 5}
A3T8XGSS2HGMBW,{51212: 1}
A1ZUFPPI9MOHPI,{51257: 5}
ARYJUD8455BDB,{51257: 5}
A1IJSJWA0A402J,"{51284: 5, 63571: 5}"
AQS2O534ZEGY4,{51339: 4}
AH0R2LF94WOE7,{51354: 5}
A2E4H6M7C7BBL4,{51411: 1}
A3K43NGWZX5U5K,{51420: 1}
A5IA80HMZ8P34,{51629: 5}
A3P4KTFAQXAPVP,{51744: 4}
A1ILIVQ7F7Y5NP,{51745: 3}
A2WSX8B0E47533,{51938: 1}
A2QK5LGY2TPQMT,{51939: 5}
A1RCRIVXALZ6RO,{51989: 5}
ATX7I8OVOQTPJ,{52201: 5}
A2ZEL24X5LJUO4,{52282: 5}
A2UPT658N7YIIA,{52387: 5}
A1C4XESOY1SXR6,{52471: 4}
A3JBBMTM8P4732,{52547: 5}
A2N1YUDOCEH48R,{52606: 5}
A3QX0ERX4D03TF,{52822: 4}
A1W1A176FP2XS3,{52837: 1}
A1GOJZ80JPTD79,"{52872: 4, 64084: 4}"
AGS256EK6XJXH,{52999: 4}
A3JJ04WC27P44D,{53026: 5}
A28I3427PQK01Z,{53105: 5}
A1WA9XJPFTP1CY,{53205: 5}
A1KRGV1MXXVYLU,{53246: 1}
A3AA95QJRMHLZ8,{53312: 5}
A3D6H9545CK7GB,{53555: 5}
ABYRR6KFM9N8I,{53555: 5}
A2OJUFI0QZKR2O,"{53742: 5, 66356: 5}"
AXFOWJLVHYGDY,{53745: 5}
A22P272OVA7X6R,{53937: 1}
A3F9P8N1EOJ9Y5,{53967: 5}
A3165PAIEFGEMG,{54162: 2}
A1J5QIOAWVH7KZ,{54265: 5}
ATLV3CZOY7JVW,{54374: 5}
A2MZFWMZ1D6GNV,{54554: 3}
A333JFV9IWNPYH,"{54563: 5, 62350: 5}"
A1BW2E48E89SGL,{54685: 5}
A1SMA4MQNY07AB,{54827: 1}
AVY3TBBG17CPL,{54844: 5}
A4PWGJNJW1V3D,"{54925: 5, 68206: 5}"
A2HPO1Y6EX914Q,{55099: 5}
A3THU5ABDY2LX3,{55138: 5}
AB2ICUBEX7ORZ,{55142: 5}
A314I8YV88VWCN,{55192: 2}
AH69FJ7CQ13K0,{55426: 4}
A36J3FH89L4KM4,{55457: 5}
A2SGC8YX4LB24E,{55499: 3}
A1OYWQS8WOTNMX,{55540: 4}
A3ME7A6AVNS209,{55577: 5}
A1TLIGGH77Z8VJ,{55620: 3}
A7Z7QZVOYF4CW,{55757: 5}
A22CNHWFQNPJ6R,{55758: 4}
A29QFLI9W6XQ3H,{55807: 5}
A3UL9QBDFZPLPC,{55884: 1}
A8NW7TTRWOAL0,{56179: 1}
A3LG723NE0S2UG,{56369: 2}
AKG74GBV469J2,{56464: 1}
A15RVYSQ7GTH4V,{56553: 2}
A2WW49JIMJHMOF,{56739: 3}
A2XTSS015AXUHV,{56791: 2}
A31G4D3LQMG77B,{56840: 1}
A2CUR0H4W5M11L,{56851: 5}
A2GUX1Z5V5G18E,{56943: 5}
A144L5T9WCB7MI,{57042: 5}
A1WHKM5Z75IGQP,{57170: 1}
A1TWV005CYT4Z1,{57240: 4}
A1GK4QZU82R6L4,{57407: 5}
A2OINA7MWMWYE6,"{57506: 5, 61572: 4}"
A2H0AUPLE445GU,{57565: 3}
A2WY671S0D1O9Y,{57573: 2}
AVYMCUEDPPJB,{57589: 4}
A1FFZN8591U0L5,{57596: 5}
A16KUAG5HVAB1E,"{57707: 4, 68906: 5}"
A39GGPBJKDTTUU,{57785: 2}
A1L45SDOD13JP1,{57992: 1}
A3M036A0754349,{57997: 4}
A286ADTTZ9ID1R,{58121: 5}
A1PQRPF1LCXLHH,{58204: 5}
AJBT9S5TZI782,{58245: 1}
A1RAYTKRBAT86N,{58252: 1}
A16K708ROGFYER,{58257: 1}
ASSZPBYXU8A3Y,{58313: 5}
A3NFZM2C90Y7JP,{58335: 4}
A2GPOCI4QVAON7,{58361: 4}
A3V3ZLQ17JZT2Q,{58536: 5}
A1GXSQ8F3TIAJP,{58677: 5}
A3256WBX7I9IJP,{58979: 3}
A1FSD47V543DBO,{59039: 2}
A2UHBS2QRVIO2O,{59042: 5}
A36SWABMS7O9K9,"{59049: 2, 62161: 5}"
A2XFGFUDTPY73F,"{59150: 5, 62262: 5, 69608: 5}"
A3JMWHYMUQOGIO,{59194: 5}
A1O98FE26L8HX3,{59376: 2}
A1EX3MPWR1DALN,{59486: 3}
A2MPF97GJ5N3SD,{59717: 4}
A12IT4ARMX6O2A,{59736: 5}
A3UK96TZQC603T,{59857: 4}
A2UUS26OISLDOZ,{59977: 5}
AEPD7SNATVGRF,{60023: 5}
A3KC1V93W8BP3,{60170: 2}
A1DWDJ7TVNNKTQ,{60226: 1}
A163Y3B4OYRVQT,{60298: 1}
A2DY0NV20DAOSW,{60298: 5}
A367NDTC9SLUYT,{60311: 4}
A2JBU1VMPPDNWS,{60434: 1}
A2E5NBMYVJ5H3A,{60458: 1}
A3AA9IMDLZGJJZ,{60458: 1}
A1K42XDHKRGLBQ,{60500: 5}
A3GULRHKXZ14RN,{60552: 5}
AUWOOBH4L6KJV,{60731: 5}
A36CBOCHW2OHFP,{60786: 5}
A2I0LCOP111VJW,{60849: 5}
A1L103WXL3AIQ1,"{60990: 1, 63259: 4}"
A3BTH3N0VNOSAQ,{61374: 3}
A1P6SY6ZHAQK2X,"{61405: 5, 67253: 5}"
A2RFRQD3R47DO4,{61569: 5}
A2Y31NPB06T3L3,{61571: 4}
A2K4P6BCWQGIKC,{61587: 5}
A3RIERYLUWSO5O,{61630: 1}
A126QH38GYCI68,{61740: 1}
A163P5DS386TCX,{61765: 3}
A5ZA93520VSF1,{61931: 5}
A31FMYWQD09QUW,{61985: 3}
A3L1YWWNUU2DYH,{62061: 5}
A2KS6T0GNZFD0L,{62318: 5}
ARHRSYF9YLQZF,{62318: 3}
AQ2VL00OJY1MH,{62318: 4}
A2EDL6DIVQWFLM,{62318: 2}
A29OK8PPE9W2Y5,{62363: 4}
A2B50HBXY5G658,{62445: 3}
A284CQ95NKADWV,{62616: 5}
ANZGSD92Y707Y,{62616: 4}
A2S3P1SFNAVXUU,"{62730: 3, 64127: 5}"
A3IIGRE93JDRX6,{62811: 5}
AYBYTAQ8C84XA,{62943: 2}
A3P5MGH26AN9ON,{63047: 5}
A3KFC25E8M1MBJ,{63241: 5}
A2200137DUSZUY,{63319: 5}
AL727RWERMAZU,{63378: 1}
A3B3PW8JVWU2DZ,{63476: 5}
A2SJ4HLH9BNDXR,{63682: 1}
A1K9W7TS3BRU4U,{63728: 5}
AOS1K6CDM9NND,{63732: 1}
A23IGPXPPX0VW7,{64017: 5}
A4A0C617407T4,{64033: 5}
A26B77JIDGFIZM,{64073: 5}
AY6VXIWYGNATL,{64383: 5}
A2VVO1WBFCY9P2,{64397: 5}
AXSZFZDCOIHMX,{64414: 5}
A2QVIIA1EKGN3E,{64589: 1}
AJHZ6BNT2TOYX,{64676: 1}
A3TGS8Z8J6RHEI,{64717: 2}
A186SX1ESCM7PM,{64965: 5}
A5KHJ13RUC0V,{64965: 4}
A25IN1JISKBYZN,{65028: 4}
A1TO9W5VSWN5ZN,{65060: 5}
A4965DNIAYWF9,{65161: 5}
A3PN89FHVK4TQC,{65266: 5}
A2D9QZQXGVQ8JT,{65269: 5}
A3T1WMSXNSMRSH,{65313: 5}
A1D7D1FE7M5DJ2,{65313: 5}
A1CUP8I2CD60C6,{65313: 5}
A1XIJ2W1I7VHDK,{65313: 5}
A175F2R3JOGNTJ,{65313: 5}
A3GNBDV3AFIOI8,{65344: 1}
A3NLIXJWSWPR97,{65418: 4}
A14JFC91SO0UAK,{65762: 5}
AW2I08O3122CW,"{65805: 5, 69170: 5}"
ANMSMLIHFLOOS,{65811: 4}
AHAEZ1N4NUBLH,{65811: 5}
A1E5HEVC7MZZY9,{65957: 3}
A1ZRMO923RKAB0,{66435: 1}
A2N0STTLYB29AD,{66605: 3}
AODK6IDT5UTUM,{66662: 1}
A3JL2FY1HD1E41,{66843: 4}
AOAPRRDGIE9E0,{66850: 1}
A1LLATU1ESGE1K,{66899: 5}
A117NOFOL17V1U,{66907: 5}
A2TSWZ2CYI9R7F,{66916: 5}
A1L2KI68MG2I79,{66956: 3}
A2C1FVWYFV8PLC,{67119: 1}
A9G28V711V1VM,{67215: 2}
A2D2YQPDZ2I55G,{67253: 5}
A1DJ6XJ3GHXRBA,{67253: 5}
A2NFBX7LUUYMCS,{67278: 5}
A335GGQNYMPUKC,{67448: 3}
A3930YFFEIWFBA,{67611: 5}
A1WQCCIEQ65E9I,{67684: 4}
AX2B0YY5CGM81,{67868: 5}
A3U8CB1OTDI0AP,{67874: 4}
A2XJGXGEP4SUMT,{68072: 1}
AEWT036SN13NJ,{68080: 1}
A27SQOZBAEIJTX,{68185: 4}
A19KJ9V6Y9CUAW,{68308: 4}
AA5UNNOI7OETJ,{68667: 5}
A276FG0XPT31AC,{68730: 1}
AJVPEQPFB4P4Y,{68730: 1}
AV6RPA2PZ0NV9,{68732: 2}
ADQ7S0ZD7ST0U,{68795: 5}
A2EL7CXQHAU0M0,{68795: 5}
AKAIEU2V3KP1L,{68836: 4}
A1A5C7PHEQJL76,{68978: 5}
A2TME42JRRJ6X5,{69021: 1}
A21074J0M8XSED,{69026: 4}
A278MPPHGCREYH,{69161: 5}
A22T2LUNS8SCGE,{69171: 5}
AWOH6ZWM2TJ7J,{69362: 5}
A1P7JQNO0OT529,{69362: 5}
AP5E03OKPSAOX,{69430: 4}
A2XVWNPD4KEP1F,{69606: 1}
